基金代码,一年回报率_202108_202208
MMPPPX,2.580557086652633
MMDMMZ,-3.5393532143735023
MMUDFS,-24.86687364254815
MUMAXD,32.793232865440565
MMDAXF,6.107112262228727
MUUZPF,-1.2276978124956752
MMSIMU,-35.83475414103186
MMSUDF,3.396436575677644
FUZUFS,-7.693906552596201
MMUUFM,-12.902611781268314
MMXSIP,1.4142899404941083
MMSZAU,2.1542350426878136
MMSZPU,7.330691062312285
XZUMMS,1.9434092431380519
MMPZPS,2.1854608931973845
MMUZPM,-3.8788481281999534
MMDMPP,4.775021018368415
UDPZMF,0.8176343690828353
MMPDSU,-8.02029872230748
MUUIXU,9.761078798582048
MMUMMU,1.020436547071122
MMDMXX,-8.457191073445756
MMAZPZ,-15.502100888743309
MMAIPU,5.852873309056798
MMUSUU,5.6783635503844385
MMXXAX,1.0219545804596948
MMFPZM,-4.9296764929190395
MMXPFS,-1.9207912133029312
MMFIDA,-3.2853643453137735
MMIIMU,0.6115098490285851
DSFMAU,2.107399904675583
MMAZFS,3.103090920418021
IXMMXX,-10.046324774259372
FUZDDM,-3.535213816835124
MMDAIU,2.81410147310904
MMDFZF,-18.235258281489745
FUFIXM,-31.332544134678855
MFMMMS,-6.232652016501297
MMSSUA,-32.52065944268893
MMAIPM,5.060288177069809
MUUXAU,2.7821920383286125
UDIPMS,-8.352230246818964
UFZAUP,-23.44340923662231
MUXUXD,27.365863831321782
MUUZFM,1.4171133355745364
MUUPIA,7.848115480962447
MMZPSA,1.9251916880297322
MMFZDD,-7.35354632300085
MMUZXA,-11.459480663763793
MMSFAP,4.717400700075548
MMSFSA,5.678023153423256
MMUFXP,2.9219057098459076
MMSDMF,8.222081500590185
MUMAAU,-1.6010065933476283
MUMDFU,1.9228155597125072
MUXPFI,3.0254669885624503
MMPUAM,4.537065781821387
UDUZUP,-33.09942438160383
MUMUSF,-0.3454299005287602
MMDISU,-25.286590687087358
UDXFUM,-7.535071816244758
MMMPXM,3.723001686460629
MMDFXF,-10.752958319259587
MMZAUU,0.8304243507576978
MMSSUP,5.09968403327848
MMSPFA,2.729475679411511
MMPAZF,-12.844144977934768
FMUMMX,-10.85990250252943
MMFIZF,-24.874597136426186
MMIXZA,24.723794519184228
MMZXDP,-13.70848636831488
MMFUDZ,-13.174160466299936
FUXXZM,-35.98974890903768
MUUMPA,4.575496195371596
MUMMXF,-25.669968016484507
MMMPAZ,6.0014304077863585
MMAUUP,17.47143078281625
MMUPZM,-14.542898893262919
FMUMPF,-10.190742314418573
MMMMSP,4.1497985620368105
MMDUPA,25.022994938170214
MMUFUI,-18.86573448467983
MMDDMZ,2.794271878162406
MMUFSU,-24.56102742928331
MMUUXU,-7.8536675110185685
PSMMUP,0.771181362829516
MMZZXA,2.126903438850154
MMASUF,2.434129106277222
MMMUMP,2.7473584439708185
MMIXSI,5.019334774426114
FUZSAI,5.682021525342701
ZMMMUM,-9.93305623123354
MMDMXZ,4.218343618669029
UFZZDM,-18.795916361802753
DSIUMM,-15.974239372251827
FUFMFM,-23.78470432530415
MMDAUI,-21.219471114360715
FMUIMF,-5.7693009551405705
MUUDUP,-27.543864310716984
MMZXZI,6.833531791783806
MMSIZU,4.987532374360636
MUMPUI,-10.44562835522685
UDUMXD,-4.588309387557519
MMPZFD,0.5539178165545335
MMIXIU,-23.82998220399397
MUMMFP,-7.86744166466289
MUMXSU,-10.676627713124432
MMUIFS,-2.6420256721198854
MMPXZX,-9.049330592444674
MUMFSU,-17.18415446621423
MUUZPD,4.783948377708126
MUXFZI,5.502157588470527
MMUSUZ,4.493646348877
MUXUPA,-0.8383653168549892
MAMMMX,11.883345557037487
MMZIDZ,-11.566904159396973
MMMZDI,12.99300967055963
MMUUAD,-14.530649825759857
MUUPIX,-3.082128359952709
MMFZDS,-8.15528123845242
MUXXXZ,4.246750537814737
MMSPSI,-25.561304128947153
UDMXUX,-26.316899050419572
MUMFDD,2.1926040373705566
MMUAFD,11.420516381872023
MMMZZA,1.554920972862141
MMIAAI,3.4790918562101782
XUMMMA,-16.15364891788474
MMDMIP,-3.106599368840948
MMAFUZ,-11.829097830420244
MMAXFA,-3.563322912002358
MMXMPD,-0.9705678428045392
MUMPSU,6.132806924719452
MMUAIM,-22.776576783887126
MMZDZD,-16.499880585040216
MMFXZS,-19.484825755133095
MMZFXS,-18.539994540218295
UFZZUI,-13.5233186247444
DSIUUM,-3.251583312778151
MMSIID,5.394696755441574
MUMSMS,2.4454268824627086
MUMZPD,3.792202128843649
MMZZPP,2.3720291371863693
MMIPAP,4.8827945455106905
UDXXMP,-3.334371874421304
MMXUAD,4.067740433872876
XUMMUU,3.163191123159266
MMFZPA,-22.026611000699866
MUUADD,-7.845140687738068
MUUDPZ,-1.07414483615212
MMSDAD,-11.463683704743753
MMAZMP,4.88228805090615
MMAMFI,-17.118148884028773
MMZADU,-7.512382475607446
UDMZXU,9.07715156989187
MMUIUD,6.504625889934571
MFMMUM,-6.347497827549214
MMZISA,0.5225095611698249
MMSMXA,-1.2595411213974044
MMPSZF,-6.494248847467153
FUXZAM,-12.303637863586518
MUUFAD,-15.373730484549803
MMSSUF,3.1360415068950194
MMPXXU,-8.00744511347475
MFMUUZ,8.469634290842349
MMUMSI,-0.5133194100019387
MMZZFU,-5.926469978438544
MMMIZM,1.4873319314393953
MMZXPM,-0.7094026671928517
MUMADZ,-6.805729488159006
UDXPUD,-13.448131874966846
UFZZMS,-5.9505981293841685
MUUXIA,-17.37942568379712
MMAPII,2.6255435257287996
MMUIAA,14.684048773018798
UFZSZM,0.8437618712624155
MUXZSS,-23.977453478023875
MUUXXA,-7.220377630942326
MMIIFZ,13.282608156117265
MMDUUM,-20.491530658500295
MMFZDI,-11.661974765710573
UDDUUM,-13.568702998405037
FUZDFP,4.038636498795462
MMASZP,-16.210813346968607
MUMAUD,1.851277733659493
FUZSMP,3.50758208953855
MMMZUI,-39.176772906944045
MMAIFP,-20.797425489237234
MMSSIA,3.7061461621906977
UDUDUA,12.51671635659071
MMPFZS,-3.2155755954930134
MMSFPM,2.2154895841557107
MMAXUS,4.118449271869053
MMMFDX,1.4264402136870964
MMAPXD,1.3522299873701413
MMAMDF,-13.526139094075809
FMUMFU,-17.413312294822372
MMAMFU,-36.21366756757004
MMDPZS,2.6122331019953076
