基金代码,交易日,最新单位净值(元),本月以来回报率(%),三个月回报率(%),今年以来回报率(%)
MMFIDA,2020-10,1.5741242477877977,5.795175900267154,19.499599060918392,59.25608378852026
MMFIDA,2020-10,1.9249960918791205,6.517634863163584,14.151926815542819,58.861227439644914
MMFIDA,2020-10,1.6273708755221503,4.371217281574699,12.923085843531862,52.33777050998258
MMFIDA,2020-11,1.6134818617224318,-0.4352786046097736,14.430659953408988,56.593513548134204
MMFIDA,2020-11,1.4622946268127095,-0.5620317180030558,12.472239997558393,49.94358372046213
MMFIDA,2020-11,1.506634633175295,-1.2324111513110483,7.024331536720835,53.480622081917
MMFIDA,2020-12,1.5870298957202813,16.63951574902216,25.57898418055746,82.61813754572073
MMFIDA,2020-12,1.863564019638646,12.256642227333007,16.667383927476482,77.44045784401233
MMFIDA,2020-12,1.8312155036760962,15.626338365191572,20.708115309581864,78.51190510376958
MMFIDA,2020-12,2.110597007247131,18.76092930889763,22.338267099839364,81.37381038304135
MMFIDA,2021-01,1.9213125148171153,8.12557281342951,30.888207414037637,16.628492449590116
MMFIDA,2021-01,2.0246132749761148,10.682896124193624,30.417771308409055,9.981265369678715
MMFIDA,2021-01,1.9021256675298661,6.6091315164054345,22.180076483305797,3.0299827351670006
MMFIDA,2021-01,2.0074388194762873,2.867322122004026,19.355109530713822,5.471207801965124
MMFIDA,2021-02,1.6127285809939615,-7.430904459150342,10.317528110763297,-1.2145972468849546
MMFIDA,2021-03,1.715026334315128,-6.538591216821817,-9.926824358705224,-12.893947966346014
MMFIDA,2021-03,1.569799569038862,-6.978567646937335,-7.201980967211187,-13.968714350205552
MMFIDA,2021-03,1.4720775393805055,-5.881188013572486,-9.650366022154184,-10.092447381161398
MMFIDA,2021-03,1.4099616929270853,-6.659839188171704,-10.238672424205,-10.804560132264832
MMFIDA,2021-04,1.7703316001856992,3.7085780562905852,-12.901315432316931,-8.29070028853764
MMFIDA,2021-04,1.647242149502882,3.673231961208838,-17.902249822416618,-10.926959169119078
MMFIDA,2021-04,1.7534740096935226,6.045347992459806,-12.325671723404149,-8.472423769200052
MMFIDA,2021-04,1.7884028643041936,6.860876799486275,-8.201736584510597,-7.093840144000797
