基金代码,信息发布日期,期初份额(份),期末份额(份)
UDMUMF,2021-08-06,,
UDMUMF,2021-08-09,,
UDMUMF,2021-08-10,,
UDMUMF,2021-08-11,,
UDMUMF,2021-08-12,,
UDMUMF,2021-08-13,,
UDMUMF,2021-08-16,,
UDMUMF,2021-08-17,,
UDMUMF,2021-08-18,,
UDMUMF,2021-08-19,,
UDMUMF,2021-08-20,,
UDMUMF,2021-08-23,,
UDMUMF,2021-08-24,,
UDMUMF,2021-08-25,,
UDMUMF,2021-08-26,,
UDMUMF,2021-08-27,,
UDMUMF,2021-08-30,,
UDMUMF,2021-08-31,,
UDMUMF,2021-09-01,,
UDMUMD,2020-08-31,1325768356.9246967,1208527703.0553849
UDMUMD,2020-08-03,,
UDMUMD,2020-08-04,,
UDMUMD,2020-08-05,,
UDMUMD,2020-08-06,,
UDMUMD,2020-08-07,,
UDMUMD,2020-08-10,,
UDMUMD,2020-08-11,,
UDMUMD,2020-08-12,,
UDMUMD,2020-08-13,,
UDMUMD,2020-08-14,,
UDMUMD,2020-08-17,,
UDMUMD,2020-08-18,,
UDMUMD,2020-08-19,,
UDMUMD,2020-08-20,,
UDMUMD,2020-08-21,,
UDMUMD,2020-08-24,,
UDMUMD,2020-08-25,,
UDMUMD,2020-08-26,,
UDMUMD,2020-08-27,,
UDMUMD,2020-08-28,,
UDMUMD,2020-08-31,,
UDMUMD,2020-09-01,,
UDMUMD,2020-09-02,,
UDMUMD,2020-09-03,,
UDMUMD,2020-09-04,,
UDMUMD,2020-09-07,,
UDMUMD,2020-09-08,,
UDMUMD,2020-09-09,,
UDMUMD,2020-09-10,,
UDMUMD,2020-09-11,,
UDMUMD,2020-09-14,,
UDMUMD,2020-09-15,,
UDMUMD,2020-09-16,,
UDMUMD,2020-09-17,,
UDMUMD,2020-09-18,,
UDMUMD,2020-09-21,,
UDMUMD,2020-09-22,,
UDMUMD,2020-09-23,,
UDMUMD,2020-09-24,,
UDMUMD,2020-09-25,,
UDMUMD,2020-09-28,,
UDMUMD,2020-09-29,,
UDMUMD,2020-09-30,,
UDMUMD,2020-10-28,1208527236.0950272,1132911593.0156984
UDMUMD,2020-10-28,,1132908508.2719321
UDMUMD,2020-10-09,,
UDMUMD,2020-10-12,,
UDMUMD,2020-10-13,,
UDMUMD,2020-10-14,,
UDMUMD,2020-10-15,,
UDMUMD,2020-10-16,,
UDMUMD,2020-10-19,,
UDMUMD,2020-10-20,,
UDMUMD,2020-10-21,,
UDMUMD,2020-10-22,,
UDMUMD,2020-10-23,,
UDMUMD,2020-10-26,,
UDMUMD,2020-10-27,,
UDMUMD,2020-10-28,,
UDMUMD,2020-10-29,,
UDMUMD,2020-10-30,,
UDMUMD,2020-11-02,,
UDMUMD,2020-11-03,,
UDMUMD,2020-11-04,,
UDMUMD,2020-11-05,,
UDMUMD,2020-11-06,,
UDMUMD,2020-11-09,,
UDMUMD,2020-11-10,,
UDMUMD,2020-11-11,,
UDMUMD,2020-11-12,,
UDMUMD,2020-11-13,,
UDMUMD,2020-11-16,,
UDMUMD,2020-11-17,,
UDMUMD,2020-11-18,,
UDMUMD,2020-11-19,,
UDMUMD,2020-11-20,,
UDMUMD,2020-11-23,,
UDMUMD,2020-11-24,,
UDMUMD,2020-11-25,,
UDMUMD,2020-11-26,,
UDMUMD,2020-11-27,,
UDMUMD,2020-11-30,,
UDMUMD,2020-12-01,,
UDMUMD,2020-12-02,,
UDMUMD,2020-12-03,,
UDMUMD,2020-12-04,,
UDMUMD,2020-12-07,,
UDMUMD,2020-12-08,,
UDMUMD,2020-12-09,,
UDMUMD,2020-12-10,,
UDMUMD,2020-12-11,,
UDMUMD,2020-12-14,,
UDMUMD,2020-12-15,,
UDMUMD,2020-12-16,,
UDMUMD,2020-12-17,,
UDMUMD,2020-12-18,,
UDMUMD,2020-12-21,,
UDMUMD,2020-12-22,,
UDMUMD,2020-12-23,,
UDMUMD,2020-12-24,,
UDMUMD,2020-12-25,,
UDMUMD,2020-12-28,,
UDMUMD,2020-12-29,,
UDMUMD,2020-12-30,,
UDMUMD,2021-01-22,1132909054.648416,1089472467.2264524
UDMUMD,2021-03-31,1325766887.395942,1089473616.7009158
UDMUMD,2020-12-31,,
UDMUMD,2021-01-22,,1089474709.1586134
UDMUMD,2021-01-04,,
UDMUMD,2021-01-05,,
UDMUMD,2021-01-06,,
UDMUMD,2021-01-07,,
UDMUMD,2021-01-08,,
UDMUMD,2021-01-11,,
UDMUMD,2021-01-12,,
UDMUMD,2021-01-13,,
UDMUMD,2021-01-14,,
UDMUMD,2021-01-15,,
UDMUMD,2021-01-18,,
UDMUMD,2021-01-19,,
UDMUMD,2021-01-20,,
UDMUMD,2021-01-21,,
UDMUMD,2021-01-22,,
UDMUMD,2021-01-25,,
UDMUMD,2021-01-26,,
UDMUMD,2021-01-27,,
UDMUMD,2021-01-28,,
UDMUMD,2021-01-29,,
UDMUMD,2021-02-01,,
UDMUMD,2021-02-02,,
UDMUMD,2021-02-03,,
UDMUMD,2021-02-04,,
UDMUMD,2021-02-05,,
UDMUMD,2021-02-08,,
UDMUMD,2021-02-09,,
UDMUMD,2021-02-10,,
UDMUMD,2021-02-18,,
UDMUMD,2021-02-19,,
UDMUMD,2021-02-22,,
UDMUMD,2021-02-23,,
UDMUMD,2021-02-24,,
UDMUMD,2021-02-25,,
UDMUMD,2021-02-26,,
UDMUMD,2021-03-01,,
UDMUMD,2021-03-02,,
UDMUMD,2021-03-03,,
UDMUMD,2021-03-04,,
UDMUMD,2021-03-05,,
UDMUMD,2021-03-08,,
UDMUMD,2021-03-09,,
UDMUMD,2021-03-10,,
UDMUMD,2021-03-11,,
UDMUMD,2021-03-12,,
UDMUMD,2021-03-15,,
UDMUMD,2021-03-16,,
UDMUMD,2021-03-17,,
UDMUMD,2021-03-18,,
UDMUMD,2021-03-19,,
UDMUMD,2021-03-22,,
UDMUMD,2021-03-23,,
UDMUMD,2021-03-24,,
UDMUMD,2021-03-25,,
UDMUMD,2021-03-26,,
UDMUMD,2021-03-29,,
UDMUMD,2021-03-30,,
UDMUMD,2021-04-22,1089472542.5814314,1185104577.8812616
UDMUMD,2021-03-31,,
UDMUMD,2021-04-22,,1185105937.544117
UDMUMD,2021-04-01,,
UDMUMD,2021-04-02,,
UDMUMD,2021-04-06,,
UDMUMD,2021-04-07,,
UDMUMD,2021-04-08,,
UDMUMD,2021-04-09,,
UDMUMD,2021-04-12,,
UDMUMD,2021-04-13,,
UDMUMD,2021-04-14,,
UDMUMD,2021-04-15,,
UDMUMD,2021-04-16,,
UDMUMD,2021-04-19,,
UDMUMD,2021-04-20,,
UDMUMD,2021-04-21,,
UDMUMD,2021-04-22,,
UDMUMD,2021-04-23,,
UDMUMD,2021-04-26,,
UDMUMD,2021-04-27,,
UDMUMD,2021-04-28,,
UDMUMD,2021-04-29,,
UDMUMD,2021-04-30,,
UDMUMD,2021-05-06,,
UDMUMD,2021-05-07,,
UDMUMD,2021-05-10,,
UDMUMD,2021-05-11,,
UDMUMD,2021-05-12,,
UDMUMD,2021-05-13,,
UDMUMD,2021-05-14,,
UDMUMD,2021-05-17,,
UDMUMD,2021-05-18,,
UDMUMD,2021-05-19,,
UDMUMD,2021-05-20,,
UDMUMD,2021-05-21,,
UDMUMD,2021-05-24,,
UDMUMD,2021-05-25,,
UDMUMD,2021-05-26,,
UDMUMD,2021-05-27,,
UDMUMD,2021-05-28,,
UDMUMD,2021-05-31,,
UDMUMD,2021-06-01,,
UDMUMD,2021-06-02,,
UDMUMD,2021-06-03,,
UDMUMD,2021-06-04,,
UDMUMD,2021-06-07,,
UDMUMD,2021-06-08,,
UDMUMD,2021-06-09,,
UDMUMD,2021-06-10,,
UDMUMD,2021-06-11,,
UDMUMD,2021-06-15,,
UDMUMD,2021-06-16,,
UDMUMD,2021-06-17,,
UDMUMD,2021-06-18,,
UDMUMD,2021-06-21,,
UDMUMD,2021-06-22,,
UDMUMD,2021-06-23,,
UDMUMD,2021-06-24,,
UDMUMD,2021-06-25,,
UDMUMD,2021-06-28,,
UDMUMD,2021-06-29,,
UDMUMD,2021-07-21,1185105916.374311,1161334536.2394793
UDMUMD,2021-07-21,,1161331741.303461
UDMUMD,2021-08-31,1089474527.141216,1161332053.039572
UDMUMD,2021-06-30,,
UDMUMD,2021-07-01,,
UDMUMD,2021-07-02,,
UDMUMD,2021-07-05,,
UDMUMD,2021-07-06,,
UDMUMD,2021-07-07,,
UDMUMD,2021-07-08,,
UDMUMD,2021-07-09,,
UDMUMD,2021-07-12,,
UDMUMD,2021-07-13,,
UDMUMD,2021-07-14,,
UDMUMD,2021-07-15,,
UDMUMD,2021-07-16,,
UDMUMD,2021-07-19,,
UDMUMD,2021-07-20,,
UDMUMD,2021-07-21,,
UDMUMD,2021-07-22,,
UDMUMD,2021-07-23,,
UDMUMD,2021-07-26,,
UDMUMD,2021-07-27,,
UDMUMD,2021-07-28,,
UDMUMD,2021-07-29,,
UDMUMD,2021-07-30,,
UDMUMD,2021-08-02,,
UDMUMD,2021-08-03,,
UDMUMD,2021-08-04,,
UDMUMD,2021-08-05,,
UDMUMD,2021-08-06,,
UDMUMD,2021-08-09,,
UDMUMD,2021-08-10,,
UDMUMD,2021-08-11,,
UDMUMD,2021-08-12,,
UDMUMD,2021-08-13,,
UDMUMD,2021-08-16,,
UDMUMD,2021-08-17,,
UDMUMD,2021-08-18,,
UDMUMD,2021-08-19,,
UDMUMD,2021-08-20,,
UDMUMD,2021-08-23,,
UDMUMD,2021-08-24,,
UDMUMD,2021-08-25,,
UDMUMD,2021-08-26,,
UDMUMD,2021-08-27,,
UDMUMD,2021-08-30,,
UDMUMD,2021-08-31,,
UDMUMD,2021-09-01,,
UDMUXS,2020-11-18,,983113337.181323
UDMUXS,2020-11-18,,
UDMUXS,2020-11-19,,
UDMUXS,2020-11-20,,
UDMUXS,2020-11-23,,
UDMUXS,2020-11-25,,983114549.1298655
UDMUXS,2020-11-24,,
UDMUXS,2020-11-25,,
UDMUXS,2020-11-26,,
UDMUXS,2020-11-27,,
UDMUXS,2020-11-30,,
UDMUXS,2020-11-25,,983116671.7230078
UDMUXS,2020-12-01,,
